data;fazenda;almoco;janta;cafe;lanche;vlrAlmoco;vlrJanta;vlrCafe;vlrLanche;total
28/05/2021;Santa Elisa;313;214;301;7;13,5;13,5;6,5;6,5;9116,5
28/05/2021;Silo;103;21;100;5;13,5;13,5;6,5;6,5;2356,5
29/05/2021;Santa Elisa;281;168;310;25;13,5;13,5;6,5;6,5;8239
29/05/2021;Silo;58;13;64;3;13,5;13,5;6,5;6,5;1394
30/05/2021;Santa Elisa;200;184;177;0;13,5;13,5;6,5;6,5;6334,5
30/05/2021;Silo;42;15;45;0;13,5;13,5;6,5;6,5;1062
31/05/2021;Santa Elisa;267;187;256;24;13,5;13,5;6,5;6,5;7949
31/05/2021;Silo;67;18;65;4;13,5;13,5;6,5;6,5;1596
01/06/2021;Santa Elisa;322;205;288;26;13,5;13,5;6,5;6,5;9155,5
01/06/2021;Silo;102;20;72;4;13,5;13,5;6,5;6,5;2141
02/06/2021;Santa Elisa;321;207;285;27;13,5;13,5;6,5;6,5;9156
02/06/2021;Silo;82;21;74;8;13,5;13,5;6,5;6,5;1923,5
03/06/2021;Santa Elisa;333;222;284;38;13,5;13,5;6,5;6,5;9585,5
03/06/2021;Silo;68;20;67;7;13,5;13,5;6,5;6,5;1669
04/06/2021;Santa Elisa;283;212;249;42;13,5;13,5;6,5;6,5;8574
04/06/2021;Silo;68;20;63;4;13,5;13,5;6,5;6,5;1623,5
05/06/2021;Santa Elisa;290;201;275;42;13,5;13,5;6,5;6,5;8689
05/06/2021;Silo;69;20;72;5;13,5;13,5;6,5;6,5;1702
06/06/2021;Santa Elisa;203;158;200;8;13,5;13,5;6,5;6,5;6225,5
06/06/2021;Silo;54;20;41;5;13,5;13,5;6,5;6,5;1298
07/06/2021;Santa Elisa;295;189;257;38;13,5;13,5;6,5;6,5;8451,5
07/06/2021;Silo;82;21;73;5;13,5;13,5;6,5;6,5;1897,5
08/06/2021;Santa Elisa;327;200;289;36;13,5;13,5;6,5;6,5;9227
08/06/2021;Silo;86;24;82;7;13,5;13,5;6,5;6,5;2063,5
09/06/2021;Santa Elisa;353;208;337;30;13,5;13,5;6,5;6,5;9959
09/06/2021;Silo;76;28;82;8;13,5;13,5;6,5;6,5;1989
10/06/2021;Santa Elisa;317;210;298;39;13,5;13,5;6,5;6,5;9305
10/06/2021;Silo;91;33;98;18;13,5;13,5;6,5;6,5;2428
11/06/2021;Santa Elisa;326;205;292;38;13,5;13,5;6,5;6,5;9313,5
11/06/2021;Silo;107;24;90;5;13,5;13,5;6,5;6,5;2386
12/06/2021;Santa Elisa;281;188;264;36;13,5;13,5;6,5;6,5;8281,5
12/06/2021;Silo;85;33;87;7;13,5;13,5;6,5;6,5;2204
13/06/2021;Santa Elisa;196;173;193;5;13,5;13,5;6,5;6,5;6268,5
13/06/2021;Silo;63;36;67;9;13,5;13,5;6,5;6,5;1830,5
14/06/2021;Santa Elisa;305;192;277;36;13,5;13,5;6,5;6,5;8744
14/06/2021;Silo;92;38;82;11;13,5;13,5;6,5;6,5;2359,5
15/06/2021;Santa Elisa;313;210;283;36;13,5;13,5;6,5;6,5;9134
15/06/2021;Silo;97;38;86;12;13,5;13,5;6,5;6,5;2459,5
16/06/2021;Santa Elisa;333;209;279;37;13,5;13,5;6,5;6,5;9371
16/06/2021;Silo;92;32;85;8;13,5;13,5;6,5;6,5;2278,5
17/06/2021;Santa Elisa;360;200;304;42;13,5;13,5;6,5;6,5;9809
17/06/2021;Silo;105;42;85;5;13,5;13,5;6,5;6,5;2569,5
18/06/2021;Santa Elisa;348;191;289;39;13,5;13,5;6,5;6,5;9408,5
18/06/2021;Silo;105;40;89;10;13,5;13,5;6,5;6,5;2601
19/06/2021;Santa Elisa;298;188;298;42;13,5;13,5;6,5;6,5;8771
19/06/2021;Silo;86;32;74;4;13,5;13,5;6,5;6,5;2100
20/06/2021;Santa Elisa;200;144;238;0;13,5;13,5;6,5;6,5;6191
20/06/2021;Silo;67;31;52;1;13,5;13,5;6,5;6,5;1667,5
21/06/2021;Santa Elisa;321;221;296;42;13,5;13,5;6,5;6,5;9514
21/06/2021;Silo;108;32;109;4;13,5;13,5;6,5;6,5;2624,5
22/06/2021;Santa Elisa;340;218;350;42;13,5;13,5;6,5;6,5;10081
22/06/2021;Silo;102;29;87;5;13,5;13,5;6,5;6,5;2366,5
23/06/2021;Santa Elisa;350;237;311;42;13,5;13,5;6,5;6,5;10219
23/06/2021;Silo;114;33;94;5;13,5;13,5;6,5;6,5;2628
24/06/2021;Santa Elisa;351;225;334;42;13,5;13,5;6,5;6,5;10220
24/06/2021;Silo;128;31;94;5;13,5;13,5;6,5;6,5;2790
25/06/2021;Santa Elisa;359;200;327;42;13,5;13,5;6,5;6,5;9945
25/06/2021;Silo;114;32;86;6;13,5;13,5;6,5;6,5;2569
